trackingID,sessionID,userID,timestamp,latitud,longitud,accuracy,speed,heading,altitude
1,9e0be549-7e3e-4f73-85dd-f70d230ac33b,1,2026-05-28T10:44:39.509Z,43.062625,-2.506140,68.000,,,
1,9e0be549-7e3e-4f73-85dd-f70d230ac33b,1,2026-05-28T10:45:23.107Z,43.062625,-2.506140,68.000,,,
2,a015aeb4-5162-43db-b905-4d6cdb174dae,1,2026-05-28T10:46:04.993Z,43.062625,-2.506140,68.000,,,
3,a015aeb4-5162-43db-b905-4d6cdb174dae,1,2026-05-28T10:46:10.716Z,43.062625,-2.506140,68.000,,,
4,491b10e6-34ef-4fbf-99e6-d7afa882907b,7,2026-05-29T06:53:42.985Z,43.062323,-2.506006,66.000,,,
5,491b10e6-34ef-4fbf-99e6-d7afa882907b,7,2026-05-29T06:54:02.079Z,43.062206,-2.506047,65.000,,,
5,491b10e6-34ef-4fbf-99e6-d7afa882907b,7,2026-05-29T06:54:02.079Z,43.062206,-2.506047,65.000,,,
5,491b10e6-34ef-4fbf-99e6-d7afa882907b,7,2026-05-29T06:54:02.079Z,43.062206,-2.506047,65.000,,,
5,491b10e6-34ef-4fbf-99e6-d7afa882907b,7,2026-05-29T06:54:02.079Z,43.062206,-2.506047,65.000,,,
6,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:21.721Z,43.062260,-2.506068,61.000,,,
7,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
7,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
7,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
7,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
7,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
8,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
9,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
10,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
11,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
12,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
12,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
11,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
13,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
12,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
14,d7b786f0-cedb-4989-a446-f60bbd6535bc,1,2026-05-29T07:12:46.215Z,43.062247,-2.506051,61.000,,,
15,0dc5c382-8131-44d3-b78f-42baddf6a543,1,2026-05-29T07:12:49.284Z,43.062247,-2.506051,61.000,,,
16,0dc5c382-8131-44d3-b78f-42baddf6a543,1,2026-05-29T07:12:51.029Z,43.062247,-2.506051,61.000,,,
17,16fa4287-bd4e-4920-8f6c-71975148f6a1,1,2026-05-29T07:13:00.419Z,43.062274,-2.506043,61.000,,,
17,5eabd39f-5f48-4e4a-a72d-1ad2436b44ae,1,2026-05-29T07:13:00.419Z,43.062274,-2.506043,61.000,,,
17,1f5aa0a7-0576-48cb-8952-65e1379a85b2,1,2026-05-29T07:13:00.419Z,43.062274,-2.506043,61.000,,,
18,1f5aa0a7-0576-48cb-8952-65e1379a85b2,1,2026-05-29T07:13:17.204Z,43.062241,-2.506047,61.000,,,
19,04bb8e83-8208-4804-8a45-1ad3283d23d3,1,2026-05-29T07:13:23.913Z,43.062241,-2.506047,61.000,,,
20,04bb8e83-8208-4804-8a45-1ad3283d23d3,1,2026-05-29T07:13:33.719Z,43.062225,-2.506047,61.000,,,
21,621bb015-9795-4866-9ad4-82eb55e8439f,1,2026-05-29T07:26:52.258Z,43.062246,-2.506050,61.000,,,
22,621bb015-9795-4866-9ad4-82eb55e8439f,1,2026-05-29T07:27:52.428Z,43.062246,-2.506050,61.000,,,
23,621bb015-9795-4866-9ad4-82eb55e8439f,1,2026-05-29T07:27:57.582Z,43.062246,-2.506050,61.000,,,
24,f4da676c-7b68-4db9-8341-d23aa47ab43c,1,2026-05-29T07:28:09.353Z,43.062228,-2.506024,61.000,,,
25,f4da676c-7b68-4db9-8341-d23aa47ab43c,1,2026-05-29T07:28:14.504Z,43.062228,-2.506024,61.000,,,
26,c9e3d653-ec4b-4c3f-87f2-51c3063752cd,1,2026-05-29T08:03:05.871Z,43.062207,-2.506032,61.000,,,
27,c9e3d653-ec4b-4c3f-87f2-51c3063752cd,1,2026-05-29T08:03:35.770Z,43.062053,-2.505939,61.000,,,
28,9710f438-4f7d-4d3d-a78b-cb5f34520d9b,1,2026-05-29T08:04:11.811Z,43.061974,-2.505911,66.000,,,
29,9710f438-4f7d-4d3d-a78b-cb5f34520d9b,1,2026-05-29T08:04:13.950Z,43.061974,-2.505911,66.000,,,
30,9ca436f9-c662-4ebd-a849-01cb47137b5a,1,2026-05-29T08:08:24.032Z,43.061974,-2.505911,66.000,,,
31,9ca436f9-c662-4ebd-a849-01cb47137b5a,1,2026-05-29T08:08:30.597Z,43.061974,-2.505911,66.000,,,
32,177d7021-c35d-4cce-905f-1f7595847e62,1,2026-05-29T08:20:20.147Z,43.061974,-2.505911,66.000,,,
33,177d7021-c35d-4cce-905f-1f7595847e62,1,2026-05-29T08:20:24.808Z,43.061974,-2.505911,66.000,,,
34,083204b3-41fc-4574-b60e-d5319cd281e7,8,2026-05-29T08:55:01.635Z,43.061974,-2.505911,66.000,,,
35,083204b3-41fc-4574-b60e-d5319cd281e7,8,2026-05-29T08:55:34.142Z,43.062122,-2.506031,65.000,,,
36,8f7961c1-5dc7-45b9-88a3-f80243dd7f9d,8,2026-06-01T07:04:36.336Z,43.062134,-2.506018,61.000,,,
37,8f7961c1-5dc7-45b9-88a3-f80243dd7f9d,8,2026-06-01T07:04:51.799Z,43.062065,-2.505941,61.000,,,
