stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:2639_Plataforma_Q1:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.251034,-2.889611,ES:Euskotren:Zone:18:,,0,ES:Euskotren:StopPlace:2639:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2639_Plataforma_Q2:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250996,-2.889755,ES:Euskotren:Zone:18:,,0,ES:Euskotren:StopPlace:2639:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2639_Plataforma_Q3:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250996,-2.889755,ES:Euskotren:Zone:18:,,0,ES:Euskotren:StopPlace:2639:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2640_Plataforma_Q1:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190411,-2.454957,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2640:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2640_Plataforma_Q2:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190411,-2.454957,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2640:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2641_Plataforma_Q1:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.267223,-2.921325,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2641:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Quay:2641_Plataforma_Q2:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.267223,-2.921325,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2641:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Quay:2642_Plataforma_Q1:,,Zamudio,,Mikel Zarate Plaza / Zamudio,43.284282,-2.865212,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2642:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2643_Plataforma_Q1:,,Forua,,"Barrio Elejalde, s/n / Forua",43.332041,-2.673636,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2643:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2645_Plataforma_Q1:,,Gernika,,"Plaza estación, s/n bajo / Gernika-Lumo",43.314085,-2.676208,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2645:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2645_Plataforma_Q2:,,Gernika,,"Plaza estación, s/n bajo / Gernika-Lumo",43.313931,-2.676154,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2645:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2645_Plataforma_Q3:,,Gernika,,"Plaza estación, s/n bajo / Gernika-Lumo",43.313931,-2.676154,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2645:,,1,ES:Euskotren:Level:Level:0:,
