stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
1628,,Hondarribia - Santa Engrazia Auzoa 8,43.36073596061579,-1.795166058407642,9,0
1525,,"Irun - Ventas Auzoa 80a, Txingudi Merkatalgunea",43.32039825215626,-1.8362424539470688,9,0
1526,,Irun - Araso Industrialdea,43.32319110621848,-1.833734798083226,9,0
1528,,Irun - Elizatxo Hiribidea 54,43.33148312164569,-1.8100285282255877,9,0
1530,,"Irun - Gobaragin Kalea 4, Lavanderas",43.333782547152204,-1.8077508997862488,9,0
1534,,Irun - Aldabe Mendia Kalea 49 Parean,43.3383717688585,-1.8109179178952364,9,0
1537,,"Irun - Pedro Manuel De Arístegui Y Petit Enbajadorea Plaza 9, Embajador Aristegi",43.339686762653315,-1.811817505475135,9,0
1594,,Irun- Molino Errepidea (donostiarantz),43.331257235249566,-1.8142885118171648,9,0
1502,,"Irun - Elizatxo Hiribidea, Bentak (arretxe-ugalde Biribilgunea)",43.33100324335291,-1.8141084293897352,9,0
1600,,"Hondarribia - Amute Auzoa 49, Kaputxinoak",43.3528691689026,-1.7980240373867364,9,0
1609,,Hondarribia - Mendelu Kalea 17,43.347148777598846,-1.8012091453788275,9,0
1613,,Hondarribia - Kosta Kalea 3 Hondarribirantz,43.35811705353357,-1.797007247377622,9,0
1626,,"Irun - Letxunborro Hiribidea, Gibeleta",43.34367394475223,-1.8055956580426582,9,0
1629,,Hondarribia - Minasoroeta Kalea 11,43.361133556325385,-1.793590877214878,9,0
1529,,"Irun - Gobaragin Kalea 4 Parean, Lavanderas",43.33375399632719,-1.8076034324151151,9,0
1531,,"Irun - Andrearriaga Ibilbidea 14, Elatzeta Eskola",43.32850237456963,-1.8195595744886544,9,0
1532,,"Irun - Elizatxo Hiribidea, Piketazaharra",43.33196736396871,-1.8072436668489869,9,0
1535,,Irun - Aldabe Mendia Kalea 49,43.3382973110759,-1.8106849790861463,9,0
1527,,"Irun - Mazuola Kalea 2 Parean, Araso Industrialdeko Sarrera",43.324758420701045,-1.8355548640710804,9,0
131,,"Donostia - Urumea Pasalekua 15, Aldunaene",43.30860739944981,-1.9761096332342565,1,0
149,,Donostia - Riberas De Loiola 12-14,43.3114280821713,-1.9733494540145946,1,0
173,,Donostia - Renfe Geltokia,43.317747301849664,-1.9771523983303527,1,0
1006,,"Pasai San Pedro - Euskadi Etorbidea, Gudarien Plaza",43.323173844965744,-1.9305397940812852,1,0
1007,,Pasai San Pedro - Euskadi Etorbidea 25,43.322905416948345,-1.933615503281922,1,0
1008,,Pasai San Pedro - Euskadi Etorbidea 1,43.32243849535796,-1.9366576479482125,1,0
11,,"Donostia - Pasai San Pedro 25, Bidebieta",43.3220550344267,-1.9399696241363997,1,0
20,,"Donostia - Aita Donostia Plaza, Anoeta",43.302781858526444,-1.975147094626347,1,0
68,,"Donostia - Miramon Pasealekua, Poliklinika Ii",43.29026241603562,-1.9798319542171547,1,0
70,,"Donostia - Begiristain Doktorea, Ospitalea Ii",43.293043046843835,-1.9705893018841374,1,0
111,,Donostia - Zorroaga 39 - Illunbe,43.300773554015905,-1.9681040614392507,1,0
112,,Donostia - Ospitalea,43.29355568923511,-1.9685219771984255,1,0
115,,"Donostia - Barcelona Hiribidea, 15",43.3090553020438,-1.9718357466420082,1,0
1012,,Pasai San Pedro - Esnabide Kalea 6,43.324879406218706,-1.92613139657749,1,0
134,,"Donostia - Begiristain Doktorea 218, Onkologikoa",43.291552849904306,-1.9741029802303793,1,0
1019,,Pasaia - Molinao,43.31559349643553,-1.91634314017224,1,0
10,,Donostia - Bidebieta,43.32190984282394,-1.9398488173632222,1,0
1003,,Pasai San Pedro - Euskadi Etorbidea 3,43.32234278636848,-1.9370169807583197,1,0
1004,,"Pasai San Pedro - Euskadi Etorbidea, Azoka",43.32282335491318,-1.9335059389061615,1,0
1005,,"Pasai San Pedro - Euskadi Etorbidea 61 Parean, Gudarien Plaza",43.3230620028452,-1.9301347551098738,1,0
34,,Donostia - Toribio Altzaga Kalea - Arcco,43.305010381163264,-1.9736300877298512,1,0
69,,"Donostia - Begiristain Doktorea 115, Ospitalea",43.29279007053137,-1.9704949511234529,1,0
114,,"Donostia - Begiristain Doktorearen Pasealekua, Begiristain Ii",43.30091682589823,-1.9680153359087278,1,0
117,,Donostia - Barcelona Hiribidea 28,43.31112602612656,-1.9718008377610465,1,0
126,,"Donostia - Begiristain Doktorea 121, Onkologikoa",43.29165602253575,-1.9735588567964795,1,0
12,,"Donostia -  Jose Elosegi Alkatearen Hiribidea 101 Parean, Elosegi 283",43.32138233492827,-1.9451241934960837,1,0
121,,"Donostia - Kolon Pasalekua 13, Gros",43.323023587065514,-1.9771132083834033,1,0
124,,"Donostia - Okendo Kalea, 18",43.32147326803109,-1.9809748003998298,1,0
1014,,Pasai San Pedro - Ricardo Arrillaga Kalea  6,43.32419384342872,-1.9298435517836503,1,0
1015,,Pasai San Pedro - Gran Sol Kalea 3,43.324931276292666,-1.9307063014116181,1,0
1016,,Pasai San Pedro - Bordaenea Kalea 2,43.32581839445231,-1.9321708103083715,1,0
1017,,Pasai San Pedro - Oiartzun Kalea 8,43.32471812744438,-1.9339168025587252,1,0
1018,,Pasai San Pedro - Ulia Etorbidea 22,43.32557217212196,-1.9376390299065362,1,0
151,,Donostia - Azkuene Kalea 35,43.32573278113176,-1.9384502686438476,1,0
152,,Donostia - Azkuene Kalea 19,43.324483951333214,-1.9377813317577237,1,0
15,,Donostia - Antso Jakitunaren Hiribidea 26,43.30880305759435,-1.9798671487451063,1,0
19,,"Donostia - Mendeurrenaren Plaza, Centenario",43.312670035400096,-1.98032037853424,1,0
160,,Donostia - Urbieta Kalea 50,43.31467708932894,-1.981224025824442,1,0
9,,"Donostia - Jose Elosegi Alkatearen Hiribidea 102, Elosegi 102",43.32117367225726,-1.9449551421415654,1,0
700,,Errenteria - Beraun Kalea 15,43.309309353618076,-1.9088714950344217,1,0
713,,Errenteria - Pontika,43.30932522059201,-1.9039389790561252,1,0
714,,"Errenteria - Galtzaraborda Etorbidea 67 Parean, Beraungo Osasun Zentroa",43.313521109571184,-1.9114597268038143,1,0
715,,"Errenteria - Alaberga Auzoa 53, Telefónica",43.314909960504565,-1.9079080652254186,1,0
716,,"Errenteria - Sorgintzulo Kalea 6 Parean, Versalles Dorrea",43.317731180873025,-1.9082028388927927,1,0
717,,Errenteria  - Sorgintzulo Kalea 11,43.31635766557292,-1.909583953096084,1,0
719,,Errenteria - Galtzaraborda Hiribidea 53 Parean,43.31131761137337,-1.9117333464493074,1,0
721,,"Errenteria - Galtzaraborda Etorbidea, Koldo Mitxelena",43.31095219010024,-1.9083488668225772,1,0
722,,Errenteria - Urbia Plaza 1,43.311521053475246,-1.905687513893463,1,0
723,,"Errenteria - Morrongilleta 24, Aralar Plaza",43.31177096648364,-1.90263725412247,1,0
709,,Errenteria  - Sorgintzulo Kalea 11 Parean,43.31633136201835,-1.9096584154680092,1,0
