stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
62,48044055,TELLETXE 40 (62),,43.3557461380648,-3.0118035639445,2,,0,,Europe/Madrid,1,0,
63,48044056,AV. DEL ANGEL 18 (63),,43.3586091301499,-3.01619370310791,2,,0,,Europe/Madrid,1,0,
64,48902070,LEGAZPI (64),,43.3030752791828,-2.97452734893449,2,,0,,Europe/Madrid,0,0,
65,48902004,ALTZAGA (PASAIA/PASAJE) (65),,43.3036798349873,-2.97701273898433,2,,0,,Europe/Madrid,1,0,
66,48902074,MADARIPEBIDEA (METRO) (66),,43.3142877908235,-2.98446203265622,2,,0,,Europe/Madrid,1,0,
68,48902078,MEZO 32 (JUANENA) (68),,43.316637461962,-2.9809714227362,2,,0,,Europe/Madrid,1,0,
69,48902079,MEZO 48 (SALITURRI) (69),,43.3150967554839,-2.97322230115393,2,,0,,Europe/Madrid,1,0,
70,48902080,MEZO 68-70 (BISTALAI) (70),,43.3146457011825,-2.96990524704578,2,,0,,Europe/Madrid,1,0,
71,48054001,SANTIMAMI (EROSKI) (71),,43.3191912984172,-2.9738974456641,2,,0,,Europe/Madrid,1,0,
84,48054009,DONIBANE/SAN JUAN (KONTSERBATORIOA) (84),,43.3239414049317,-2.98429393133266,2,,0,,Europe/Madrid,1,0,
85,48054010,SANTIMAMI (EROSKI) (85),,43.3185140924521,-2.97363135193959,2,,0,,Europe/Madrid,1,0,
86,48902081,MEZO 77-79 (BISTALAI) (86),,43.3150058913503,-2.96992973303301,2,,0,,Europe/Madrid,1,0,
87,48902082,MEZO 63 (SALITURRI) (87),,43.3154030146701,-2.97366611671949,2,,0,,Europe/Madrid,1,0,
88,48902084,MEZO 35 (JUANENA) (88),,43.3163851972779,-2.98016991207791,2,,0,,Europe/Madrid,0,0,
90,48902017,ETXEGORRI (METRO) (90),,43.3150180981473,-2.98613380122176,2,,0,,Europe/Madrid,0,0,
91,48902010,JOSE LUIS GOIOAGA (AXPEKO DARTSENA) (91),,43.3069028070622,-2.97722607048732,2,,0,,Europe/Madrid,1,0,
92,48044058,AVDA. DEL ANGEL 47 (LA VENTA) (92),,43.3615716363208,-3.01606231577068,2,,0,,Europe/Madrid,1,0,
93,48044059,AV. DEL ANGEL 23 (93),,43.3585190840382,-3.01619984949814,2,,0,,Europe/Madrid,0,0,
94,48044083,BIDEZABAL (METRO) (94),,43.3568401576038,-3.01209624190541,2,,0,,Europe/Madrid,1,0,
95,48044076,BIDEZABAL (VENANCIOS) (95),,43.3578984649842,-3.00912595878098,2,,0,,Europe/Madrid,0,0,
96,48044007,OLLARETXE 33 (EL REDENTOR) (96),,43.3556375858105,-3.00687343014228,2,,0,,Europe/Madrid,1,0,
97,48044008,LOS CHOPOS 93 (GETXO I) (97),,43.3527751504157,-3.00481882546202,2,,0,,Europe/Madrid,1,0,
98,48044009,LOS CHOPOS 51 (FADURA) (98),,43.3476966026377,-3.00021629357633,2,,0,,Europe/Madrid,1,0,
99,48044010,LOS CHOPOS 45 (99),,43.3434914753934,-3.00108003609483,2,,0,,Europe/Madrid,1,0,
