tripID,userID,fecha,origen,destino,km,co2,modo,duracionMin,puntos,icono,sessionID,startTimestamp,endTimestamp,origenLat,origenLon,destinoLat,destinoLon,duracionSeg,durationText,estadoCalculo
12,1,2026-05-29,Arrasate,Bergara,0.0,0.0,SIN_CALCULAR,8,0,🧭,abc-123,2026-05-29T08:10:00Z,2026-05-29T08:18:32Z,43.0647,-2.4898,43.1151,-2.4141,512,00:08:32,PENDIENTE
13,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,c9e3d653-ec4b-4c3f-87f2-51c3063752cd,2026-05-29T08:03:05.871Z,2026-05-29T08:03:35.789939300Z,43.062207,-2.506032,43.062053,-2.505939,29,00:00:29,PENDIENTE
14,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,9710f438-4f7d-4d3d-a78b-cb5f34520d9b,2026-05-29T08:04:11.811Z,2026-05-29T08:04:13.964916100Z,43.061974,-2.505911,43.061974,-2.505911,2,00:00:02,PENDIENTE
15,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,9ca436f9-c662-4ebd-a849-01cb47137b5a,2026-05-29T08:08:24.032Z,2026-05-29T08:08:30.611870600Z,43.061974,-2.505911,43.061974,-2.505911,6,00:00:06,PENDIENTE
16,1,2026-05-29,Arrasate/MondragÃ³n,Arrasate/MondragÃ³n,0.0,0.0,SIN_CALCULAR,1,0,🧭,177d7021-c35d-4cce-905f-1f7595847e62,2026-05-29T08:20:20.147Z,2026-05-29T08:20:24.823190600Z,43.061974,-2.505911,43.061974,-2.505911,4,00:00:04,PENDIENTE
17,8,2026-05-29,Arrasate,Arrasate,0.0,0.0,SIN_CALCULAR,1,0,🧭,083204b3-41fc-4574-b60e-d5319cd281e7,2026-05-29T08:55:01.635Z,2026-05-29T08:55:29.898Z,43.061974,-2.505911,43.062122,-2.506031,28,00:00:28,PENDIENTE
18,8,2026-06-01,Arrasate,Arrasate,0.0,0.0,SIN_CALCULAR,1,0,🧭,8f7961c1-5dc7-45b9-88a3-f80243dd7f9d,2026-06-01T07:04:36.336Z,2026-06-01T07:04:47.558Z,43.062134,-2.506018,43.062065,-2.505941,11,00:00:11,PENDIENTE
